Attrition,Age,Monthly Income,Travel Time,Qualification,Membership,Months,Hours per Week,Gender_Male,Branch_Kranji,Branch_Thomson,Work Domain_Engineering,Work Domain_Information Technology,Work Domain_Medical,Work Domain_Science,Work Domain_Unemployed
1,0.017610988464328816,-0.17805141743937195,-1.450814174435827,0.0,3.0,-0.39402273440651475,0.51001643356321,0,0,0,1,0,0,0,0
0,0.7790839251276469,-0.36003890629840707,0.7156274015610853,0.0,0.0,0.03963490355008165,-0.8204026723389723,1,0,1,1,0,0,0,0
1,-0.36312547986733024,-1.0011072332178357,-0.8730964208366504,0.0,0.0,-1.0445091913414093,-0.48779789586342676,1,0,1,0,0,1,0,0
0,-0.7438619481989893,-0.8283983648800027,-0.8730964208366504,2.0,0.0,-0.17719391542821655,-1.8182170017656092,0,0,1,1,0,0,0,0
0,-1.314966650696478,-0.7105177087129104,-1.0175258592364445,0.0,0.0,-0.8276803723631111,0.6763188218009828,1,0,1,0,1,0,0,0
0,-0.8390460652819041,-0.7948688043602037,-0.8730964208366504,0.0,1.0,-0.28560832491736565,1.5078307629898469,1,0,1,1,0,0,0,0
0,1.7309250959567946,-0.8787981445292604,-1.0175258592364445,1.0,1.0,-0.9360947818522602,0.6763188218009828,0,0,1,0,1,0,0,0
0,-1.0294142994477335,-0.873947956529541,1.293345155160262,0.0,0.0,-0.9360947818522602,-0.48779789586342676,1,0,1,1,0,0,0,0
0,-0.26794136278441544,0.5669796348653455,1.1489157167604678,1.0,0.0,-0.06877950593906744,1.5078307629898469,1,0,1,1,0,0,0,0
0,-0.458309596950245,-0.3374749882127562,1.293345155160262,1.0,1.0,-0.28560832491736565,1.1752259865143013,1,0,1,0,1,0,0,0
0,-0.5534937140331597,-0.9302523128741093,1.1489157167604678,1.0,0.0,-0.5024371438956639,0.17741165708766443,1,0,1,0,1,0,0,0
0,-1.1245984165306484,-0.5576313478521915,0.5711979631612911,0.0,0.0,-0.06877950593906744,0.8426212100387557,0,0,1,1,0,0,0,0
0,-0.9342301823648188,-0.8279766094017663,1.1489157167604678,0.0,1.0,-0.5024371438956639,-0.321495507625654,1,0,1,1,0,0,0,0
0,-0.6486778311160745,-0.8806960441813245,1.1489157167604678,0.0,0.0,-0.8276803723631111,-0.8204026723389723,1,0,1,0,1,0,0,0
1,-1.219782533613563,-1.014181653043166,1.1489157167604678,1.0,0.0,-0.6108515533848129,0.6763188218009828,1,0,1,1,0,0,0,0
0,-1.1245984165306484,0.6627181284250233,1.1489157167604678,2.0,0.0,0.03963490355008165,0.17741165708766443,0,0,1,1,0,0,0,0
0,-0.8390460652819041,-0.7463669243630101,-0.15094922883767964,0.0,1.0,-0.39402273440651475,0.6763188218009828,1,0,1,1,0,0,0,0
0,-1.7908872361110517,-0.8229155436629286,1.1489157167604678,0.0,1.0,-0.9360947818522602,1.5078307629898469,1,0,1,0,1,0,0,0
0,1.1598203934593059,1.811369173402039,-0.8730964208366504,2.0,0.0,1.6658510458873181,-0.8204026723389723,0,0,0,1,0,0,0,0
0,-0.26794136278441544,-0.6101399048926315,-0.8730964208366504,1.0,0.0,-0.719265962873962,0.8426212100387557,1,0,1,1,0,0,0,0
0,-1.600519001945222,-0.5960110963717099,0.7156274015610853,0.0,1.0,-0.6108515533848129,-0.15519311938788116,0,0,1,0,0,1,0,0
1,-0.458309596950245,-0.7233812507991226,0.7156274015610853,2.0,0.0,-0.5024371438956639,0.6763188218009828,1,0,0,1,0,0,0,0
0,-0.6486778311160745,1.0874258950091447,-0.15094922883767964,2.0,0.0,0.25646372252837984,1.0089235982765286,0,0,1,1,0,0,0,0
